Id,SalePrice
1461,128646.164
1462,168760.8
1463,186886.66
1464,194996.53
1465,199718.48
1466,175275.25
1467,167859.7
1468,173356.27
1469,189602.2
1470,118029.516
1471,207825.6
1472,95344.33
1473,104886.66
1474,157506.38
1475,135480.28
1476,502601.34
1477,252803.42
1478,289611.47
1479,222559.77
1480,521754.2
1481,324793.38
1482,204376.36
1483,165256.16
1484,170991.02
1485,175673.73
1486,200867.61
1487,377498.4
1488,241388.78
1489,213266.94
1490,206177.86
1491,183706.98
1492,88402.875
1493,199462.6
1494,316058.66
1495,299329.88
1496,247560.66
1497,186560.92
1498,160764.25
1499,153254.22
1500,128937.48
1501,187248.44
1502,154825.2
1503,348153.47
1504,234331.45
1505,218717.19
1506,194827.42
1507,238001.31
1508,218474.11
1509,168192.03
1510,147718.47
1511,143877.61
1512,160715.47
1513,157884.6
1514,194412.8
1515,191086.17
1516,162801.3
1517,148399.23
1518,128967.04
1519,222155.69
1520,137763.6
1521,141787.89
1522,174837.7
1523,105063.23
1524,125584.07
1525,134509.97
1526,129680.016
1527,111986.67
1528,127057.484
1529,151909.83
1530,179805.89
1531,96611.84
1532,107288.22
1533,146690.3
1534,116673.39
1535,162396.02
1536,115324.016
1537,70742.71
1538,169811.88
1539,171240.22
1540,121643.11
1541,151821.75
1542,153474.05
1543,240929.66
1544,87942.164
1545,105669.09
1546,124401.44
1547,145639.39
1548,140151.48
1549,120698.82
1550,152072.78
1551,107786.05
1552,152460.94
1553,145193.02
1554,116132.35
1555,169844.7
1556,92377.13
1557,96540.06
1558,92381.73
1559,108236.54
1560,126909.13
1561,146495.45
1562,132779.52
1563,117655.53
1564,153511.53
1565,148131.3
1566,228292.45
1567,56746.18
1568,245802.75
1569,129112.62
1570,112181.164
1571,136627.1
1572,146103.75
1573,243452.11
1574,105210.67
1575,202304.9
1576,247839.4
1577,200102.75
1578,168896.03
1579,145571.55
1580,181459.55
1581,136608.19
1582,129700.81
1583,341842.22
1584,234028.67
1585,140759.47
1586,54468.387
1587,91342.695
1588,151021.72
1589,111367.52
1590,133960.19
1591,99063.36
1592,127805.28
1593,124276.87
1594,138633.83
1595,101017.1
1596,251542.92
1597,159734.12
1598,203365.81
1599,203443.94
1600,189778.8
1601,53675.734
1602,119019.13
1603,86390.55
1604,277579.0
1605,255331.61
1606,176703.53
1607,161694.38
1608,217960.89
1609,192429.08
1610,164197.9
1611,132474.11
1612,141518.5
1613,164499.7
1614,131888.83
1615,85648.76
1616,70470.76
1617,86248.305
1618,131579.44
1619,123292.89
1620,170436.62
1621,123328.02
1622,144811.39
1623,306650.7
1624,225711.17
1625,132515.53
1626,167465.61
1627,183210.14
1628,269723.38
1629,176147.77
1630,335369.44
1631,217772.73
1632,254443.2
1633,167108.02
1634,185839.0
1635,177958.02
1636,160121.38
1637,162483.73
1638,192124.39
1639,180091.48
1640,244189.1
1641,174693.94
1642,220032.34
1643,220405.52
1644,235778.02
1645,168626.17
1646,154577.5
1647,159134.19
1648,130733.14
1649,137142.78
1650,113491.7
1651,115098.664
1652,99237.695
1653,104921.59
1654,151059.23
1655,162640.78
1656,146872.88
1657,155916.77
1658,145027.62
1659,148347.28
1660,141250.36
1661,500243.53
1662,399559.2
1663,398928.94
1664,486868.53
1665,299253.66
1666,310400.56
1667,374988.03
1668,299016.0
1669,287806.12
1670,323893.25
1671,228549.22
1672,529006.5
1673,281940.03
1674,241320.12
1675,187228.27
1676,192728.36
1677,220963.39
1678,438537.7
1679,364692.28
1680,306004.44
1681,242956.33
